 time            v(vin)          v(vout)        
 4.27592256e-04  7.54394185e-01  4.12457312e-01 
 4.28592256e-04  7.54337658e-01  4.13582634e-01 
 4.29592256e-04  7.54280960e-01  4.14722381e-01 
 4.30592256e-04  7.54224093e-01  4.15876718e-01 
 4.31592256e-04  7.54167058e-01  4.17045810e-01 
 4.32592256e-04  7.54109860e-01  4.18229819e-01 
 4.33592256e-04  7.54052499e-01  4.19428907e-01 
 4.34592256e-04  7.53994978e-01  4.20643234e-01 
 4.35592256e-04  7.53937300e-01  4.21872959e-01 
 4.36592256e-04  7.53879465e-01  4.23118238e-01 
 4.37592256e-04  7.53821478e-01  4.24379225e-01 
 4.38592256e-04  7.53763340e-01  4.25656072e-01 
